Portal,Tipo_Mercado,Moneda_Original,Codigo,Nombre Oferta,Empresa,Ubicacion,Modalidad,Seniority,Nivel_Educacion,Anios_Experiencia,Salario_COP,Salario_Millones,Habilidad,URL
Torre.ai,Mercado Internacional (Remoto - USD),CAD,qdPDK3Ad,"Staff Machine Learning Research Scientist (NLP, Clinical AI)",Rad AI,United States,Remoto,No especificado,No especificado,,,,PyTorch,https://torre.ai/jobs/rad-ai-staff-machine-learning-research-scientist-nlp-clinical-ai
Torre.ai,Mercado Internacional (Remoto - USD),CAD,VdLOxJ5w,Senior Machine Learning Engineer (ASR) - Voice Experience,Cresta,Global / Remoto,Remoto,No especificado,No especificado,,,,Machine Learning General,https://torre.ai/jobs/cresta-senior-machine-learning-engineer-asr-voice-experience
Torre.ai,Mercado Internacional (Remoto - USD),CAD,VdLOxJ5w,Senior Machine Learning Engineer (ASR) - Voice Experience,Cresta,Global / Remoto,Remoto,No especificado,No especificado,,,,NLP / LLMs,https://torre.ai/jobs/cresta-senior-machine-learning-engineer-asr-voice-experience
Torre.ai,Mercado Internacional (Remoto - USD),CAD,VdLOxJ5w,Senior Machine Learning Engineer (ASR) - Voice Experience,Cresta,Global / Remoto,Remoto,No especificado,No especificado,,,,TensorFlow / Keras,https://torre.ai/jobs/cresta-senior-machine-learning-engineer-asr-voice-experience
Torre.ai,Mercado Internacional (Remoto - USD),CAD,VdLOxJ5w,Senior Machine Learning Engineer (ASR) - Voice Experience,Cresta,Global / Remoto,Remoto,No especificado,No especificado,,,,PyTorch,https://torre.ai/jobs/cresta-senior-machine-learning-engineer-asr-voice-experience
Torre.ai,Mercado Internacional (Remoto - USD),CAD,VdLOxJ5w,Senior Machine Learning Engineer (ASR) - Voice Experience,Cresta,Global / Remoto,Remoto,No especificado,No especificado,,,,ETL / Pipelines de Datos,https://torre.ai/jobs/cresta-senior-machine-learning-engineer-asr-voice-experience
Torre.ai,Mercado Internacional (Remoto - USD),CAD,lr418D3W,Senior Machine Learning Engineer,Solidgate,Ukraine,Remoto,No especificado,No especificado,,,,Python,https://torre.ai/jobs/solidgate-senior-machine-learning-engineer
Torre.ai,Mercado Internacional (Remoto - USD),CAD,lr418D3W,Senior Machine Learning Engineer,Solidgate,Ukraine,Remoto,No especificado,No especificado,,,,Machine Learning General,https://torre.ai/jobs/solidgate-senior-machine-learning-engineer
Torre.ai,Mercado Internacional (Remoto - USD),CAD,VdLOPLBw,Head of Machine Learning,Solidgate,Ukraine,Remoto,No especificado,No especificado,,,,Machine Learning General,https://torre.ai/jobs/solidgate-head-of-machine-learning
Torre.ai,Mercado Internacional (Remoto - USD),CAD,VdLOPLBw,Head of Machine Learning,Solidgate,Ukraine,Remoto,No especificado,No especificado,,,,MLOps,https://torre.ai/jobs/solidgate-head-of-machine-learning
Torre.ai,Mercado Internacional (Remoto - USD),CAD,Yd6pl4OW,"Senior Technical Program Manager, Machine Learning Infrastructure",Cohere,Canada,Remoto,No especificado,No especificado,,,,Machine Learning General,https://torre.ai/jobs/cohere-senior-technical-program-manager-machine-learning-infrastructure
Torre.ai,Mercado Internacional (Remoto - USD),CAD,lr4p0ZLr,Machine Learning Intern/Co-Op (Winter 2027),Cohere,"Canada, United States",Remoto,No especificado,No especificado,,,,Python,https://torre.ai/jobs/cohere-machine-learning-internco-op-winter-2027
Torre.ai,Mercado Internacional (Remoto - USD),CAD,lr4p0ZLr,Machine Learning Intern/Co-Op (Winter 2027),Cohere,"Canada, United States",Remoto,No especificado,No especificado,,,,Machine Learning General,https://torre.ai/jobs/cohere-machine-learning-internco-op-winter-2027
Torre.ai,Mercado Internacional (Remoto - USD),CAD,lr4p0ZLr,Machine Learning Intern/Co-Op (Winter 2027),Cohere,"Canada, United States",Remoto,No especificado,No especificado,,,,TensorFlow / Keras,https://torre.ai/jobs/cohere-machine-learning-internco-op-winter-2027
Torre.ai,Mercado Internacional (Remoto - USD),CAD,2W1pN3nr,"Data Annotation Specialist, Data Science",Cohere,Canada,Remoto,No especificado,No especificado,,18560000.0,18.56,Python,https://torre.ai/jobs/cohere-data-annotation-specialist-data-science
Torre.ai,Mercado Internacional (Remoto - USD),CAD,2W1pN3nr,"Data Annotation Specialist, Data Science",Cohere,Canada,Remoto,No especificado,No especificado,,18560000.0,18.56,SQL,https://torre.ai/jobs/cohere-data-annotation-specialist-data-science
Torre.ai,Mercado Internacional (Remoto - USD),CAD,arQjp34W,"Staff Machine Learning Engineer, Gen AI | Voice & Speech",Weave,United States,Remoto,No especificado,No especificado,,,,SQL,https://torre.ai/jobs/weave-staff-machine-learning-engineer-gen-ai-voice-speech
Torre.ai,Mercado Internacional (Remoto - USD),CAD,arQjp34W,"Staff Machine Learning Engineer, Gen AI | Voice & Speech",Weave,United States,Remoto,No especificado,No especificado,,,,AWS,https://torre.ai/jobs/weave-staff-machine-learning-engineer-gen-ai-voice-speech
Torre.ai,Mercado Internacional (Remoto - USD),CAD,arQjp34W,"Staff Machine Learning Engineer, Gen AI | Voice & Speech",Weave,United States,Remoto,No especificado,No especificado,,,,Google Cloud (GCP),https://torre.ai/jobs/weave-staff-machine-learning-engineer-gen-ai-voice-speech
Torre.ai,Mercado Internacional (Remoto - USD),CAD,arQjp34W,"Staff Machine Learning Engineer, Gen AI | Voice & Speech",Weave,United States,Remoto,No especificado,No especificado,,,,Machine Learning General,https://torre.ai/jobs/weave-staff-machine-learning-engineer-gen-ai-voice-speech
Torre.ai,Mercado Internacional (Remoto - USD),CAD,arQjp34W,"Staff Machine Learning Engineer, Gen AI | Voice & Speech",Weave,United States,Remoto,No especificado,No especificado,,,,NLP / LLMs,https://torre.ai/jobs/weave-staff-machine-learning-engineer-gen-ai-voice-speech
Torre.ai,Mercado Internacional (Remoto - USD),CAD,arQjp34W,"Staff Machine Learning Engineer, Gen AI | Voice & Speech",Weave,United States,Remoto,No especificado,No especificado,,,,Docker / Kubernetes,https://torre.ai/jobs/weave-staff-machine-learning-engineer-gen-ai-voice-speech
Torre.ai,Mercado Internacional (Remoto - USD),CAD,arQjp34W,"Staff Machine Learning Engineer, Gen AI | Voice & Speech",Weave,United States,Remoto,No especificado,No especificado,,,,Bases de Datos NoSQL,https://torre.ai/jobs/weave-staff-machine-learning-engineer-gen-ai-voice-speech
Torre.ai,Mercado Internacional (Remoto - USD),CAD,arQjp34W,"Staff Machine Learning Engineer, Gen AI | Voice & Speech",Weave,United States,Remoto,No especificado,No especificado,,,,MLOps,https://torre.ai/jobs/weave-staff-machine-learning-engineer-gen-ai-voice-speech
Torre.ai,Mercado Internacional (Remoto - USD),CAD,qdP9DRbr,Senior Machine Learning Engineer (Remote - LATAM Based),Arionkoder,"Colombia, Argentina",Remoto,No especificado,No especificado,,,,Python,https://torre.ai/jobs/arionkoder-sr-machine-learning-engineer-remote-latam-based
Torre.ai,Mercado Internacional (Remoto - USD),CAD,qdP9DRbr,Senior Machine Learning Engineer (Remote - LATAM Based),Arionkoder,"Colombia, Argentina",Remoto,No especificado,No especificado,,,,AWS,https://torre.ai/jobs/arionkoder-sr-machine-learning-engineer-remote-latam-based
Torre.ai,Mercado Internacional (Remoto - USD),CAD,qdP9DRbr,Senior Machine Learning Engineer (Remote - LATAM Based),Arionkoder,"Colombia, Argentina",Remoto,No especificado,No especificado,,,,Machine Learning General,https://torre.ai/jobs/arionkoder-sr-machine-learning-engineer-remote-latam-based
Torre.ai,Mercado Internacional (Remoto - USD),CAD,qdP9DRbr,Senior Machine Learning Engineer (Remote - LATAM Based),Arionkoder,"Colombia, Argentina",Remoto,No especificado,No especificado,,,,Deep Learning,https://torre.ai/jobs/arionkoder-sr-machine-learning-engineer-remote-latam-based
Torre.ai,Mercado Internacional (Remoto - USD),CAD,qdP9DRbr,Senior Machine Learning Engineer (Remote - LATAM Based),Arionkoder,"Colombia, Argentina",Remoto,No especificado,No especificado,,,,Computer Vision,https://torre.ai/jobs/arionkoder-sr-machine-learning-engineer-remote-latam-based
Torre.ai,Mercado Internacional (Remoto - USD),CAD,qdP9DRbr,Senior Machine Learning Engineer (Remote - LATAM Based),Arionkoder,"Colombia, Argentina",Remoto,No especificado,No especificado,,,,Git / Control de Versiones,https://torre.ai/jobs/arionkoder-sr-machine-learning-engineer-remote-latam-based
Torre.ai,Mercado Internacional (Remoto - USD),CAD,qdP9DRbr,Senior Machine Learning Engineer (Remote - LATAM Based),Arionkoder,"Colombia, Argentina",Remoto,No especificado,No especificado,,,,MLOps,https://torre.ai/jobs/arionkoder-sr-machine-learning-engineer-remote-latam-based
Torre.ai,Mercado Internacional (Remoto - USD),USD,ed8pp3ed,"Research Staff, Data Science",Deepgram,United States,Remoto,No especificado,No especificado,,61666666.666666664,61.666666666666664,Python,https://torre.ai/jobs/deepgram-research-staff-data-science-1
Torre.ai,Mercado Internacional (Remoto - USD),USD,ed8pp3ed,"Research Staff, Data Science",Deepgram,United States,Remoto,No especificado,No especificado,,61666666.666666664,61.666666666666664,Deep Learning,https://torre.ai/jobs/deepgram-research-staff-data-science-1
Torre.ai,Mercado Internacional (Remoto - USD),USD,ed8pp3ed,"Research Staff, Data Science",Deepgram,United States,Remoto,No especificado,No especificado,,61666666.666666664,61.666666666666664,PyTorch,https://torre.ai/jobs/deepgram-research-staff-data-science-1
Torre.ai,Mercado Internacional (Remoto - USD),USD,NrJOOxYW,"Director, Client Data Science",Foodsmart,United States,Remoto,No especificado,No especificado,,68333333.33333333,68.33333333333333,Python,https://torre.ai/jobs/foodsmart-director-client-data-science
Torre.ai,Mercado Internacional (Remoto - USD),USD,NrJOOxYW,"Director, Client Data Science",Foodsmart,United States,Remoto,No especificado,No especificado,,68333333.33333333,68.33333333333333,SQL,https://torre.ai/jobs/foodsmart-director-client-data-science
Torre.ai,Mercado Internacional (Remoto - USD),USD,NrJOOxYW,"Director, Client Data Science",Foodsmart,United States,Remoto,No especificado,No especificado,,68333333.33333333,68.33333333333333,ETL / Pipelines de Datos,https://torre.ai/jobs/foodsmart-director-client-data-science
Torre.ai,Mercado Internacional (Remoto - USD),CAD,VWMqMEBW,Machine Learning Engineer (Remote),StackAdapt,United Kingdom,Remoto,No especificado,No especificado,,,,Python,https://torre.ai/jobs/stackadapt-machine-learning-engineer-remote
Torre.ai,Mercado Internacional (Remoto - USD),CAD,VWMqMEBW,Machine Learning Engineer (Remote),StackAdapt,United Kingdom,Remoto,No especificado,No especificado,,,,Machine Learning General,https://torre.ai/jobs/stackadapt-machine-learning-engineer-remote
Torre.ai,Mercado Internacional (Remoto - USD),CAD,VWMqMEBW,Machine Learning Engineer (Remote),StackAdapt,United Kingdom,Remoto,No especificado,No especificado,,,,ETL / Pipelines de Datos,https://torre.ai/jobs/stackadapt-machine-learning-engineer-remote
Torre.ai,Mercado Internacional (Remoto - USD),USD,JWO8VZ6w,Machine Learning Engineer,AI Talent Hunt,"Canadá, USA",Remoto,No especificado,No especificado,,65833333.33333333,65.83333333333333,Python,https://torre.ai/jobs/ai-talent-hunt-machine-learning-engineer
Torre.ai,Mercado Internacional (Remoto - USD),USD,JWO8VZ6w,Machine Learning Engineer,AI Talent Hunt,"Canadá, USA",Remoto,No especificado,No especificado,,65833333.33333333,65.83333333333333,SQL,https://torre.ai/jobs/ai-talent-hunt-machine-learning-engineer
Torre.ai,Mercado Internacional (Remoto - USD),USD,JWO8VZ6w,Machine Learning Engineer,AI Talent Hunt,"Canadá, USA",Remoto,No especificado,No especificado,,65833333.33333333,65.83333333333333,Machine Learning General,https://torre.ai/jobs/ai-talent-hunt-machine-learning-engineer
Torre.ai,Mercado Internacional (Remoto - USD),USD,JWO8VZ6w,Machine Learning Engineer,AI Talent Hunt,"Canadá, USA",Remoto,No especificado,No especificado,,65833333.33333333,65.83333333333333,ETL / Pipelines de Datos,https://torre.ai/jobs/ai-talent-hunt-machine-learning-engineer
Torre.ai,Mercado Internacional (Remoto - USD),USD,JWO8VZ6w,Machine Learning Engineer,AI Talent Hunt,"Canadá, USA",Remoto,No especificado,No especificado,,65833333.33333333,65.83333333333333,MLOps,https://torre.ai/jobs/ai-talent-hunt-machine-learning-engineer
Torre.ai,Mercado Internacional (Remoto - USD),CAD,Qwe1BDYw,Staff Machine Learning Engineer,SurveyMonkey,Italy,Remoto,No especificado,No especificado,,,,Kafka,https://torre.ai/jobs/surveymonkey-staff-machine-learning-engineer
Torre.ai,Mercado Internacional (Remoto - USD),CAD,Qwe1BDYw,Staff Machine Learning Engineer,SurveyMonkey,Italy,Remoto,No especificado,No especificado,,,,AWS,https://torre.ai/jobs/surveymonkey-staff-machine-learning-engineer
Torre.ai,Mercado Internacional (Remoto - USD),CAD,Qwe1BDYw,Staff Machine Learning Engineer,SurveyMonkey,Italy,Remoto,No especificado,No especificado,,,,Machine Learning General,https://torre.ai/jobs/surveymonkey-staff-machine-learning-engineer
Torre.ai,Mercado Internacional (Remoto - USD),CAD,Qwe1BDYw,Staff Machine Learning Engineer,SurveyMonkey,Italy,Remoto,No especificado,No especificado,,,,NLP / LLMs,https://torre.ai/jobs/surveymonkey-staff-machine-learning-engineer
Torre.ai,Mercado Internacional (Remoto - USD),CAD,Qwe1BDYw,Staff Machine Learning Engineer,SurveyMonkey,Italy,Remoto,No especificado,No especificado,,,,Docker / Kubernetes,https://torre.ai/jobs/surveymonkey-staff-machine-learning-engineer
Torre.ai,Mercado Internacional (Remoto - USD),USD,kWRgx57w,"Staff, Analytics Engineer, GTM Data Science & Analytics",Twilio,United States,Remoto,No especificado,No especificado,,58320000.0,58.32,SQL,https://torre.ai/jobs/twilio-staff-analytics-engineer-gtm-data-science-analytics
Torre.ai,Mercado Internacional (Remoto - USD),USD,kWRgx57w,"Staff, Analytics Engineer, GTM Data Science & Analytics",Twilio,United States,Remoto,No especificado,No especificado,,58320000.0,58.32,ETL / Pipelines de Datos,https://torre.ai/jobs/twilio-staff-analytics-engineer-gtm-data-science-analytics
Torre.ai,Mercado Internacional (Remoto - USD),USD,ZWXzxx1d,"Research Engineer, Machine Learning Systems",Deepgram,United States,Remoto,No especificado,No especificado,,66666666.66666667,66.66666666666667,Machine Learning General,https://torre.ai/jobs/deepgram-research-engineer-machine-learning-systems
Torre.ai,Mercado Internacional (Remoto - USD),USD,ZWXzxx1d,"Research Engineer, Machine Learning Systems",Deepgram,United States,Remoto,No especificado,No especificado,,66666666.66666667,66.66666666666667,Docker / Kubernetes,https://torre.ai/jobs/deepgram-research-engineer-machine-learning-systems
Torre.ai,Mercado Internacional (Remoto - USD),USD,ZWXzxx1d,"Research Engineer, Machine Learning Systems",Deepgram,United States,Remoto,No especificado,No especificado,,66666666.66666667,66.66666666666667,MLOps,https://torre.ai/jobs/deepgram-research-engineer-machine-learning-systems
Torre.ai,Mercado Internacional (Remoto - USD),CAD,lWgD7ayw,AI / Machine Learning Engineer,DevUps,Global / Remoto,Remoto,No especificado,No especificado,,,,Python,https://torre.ai/jobs/devups-ai-machine-learning-engineer
Torre.ai,Mercado Internacional (Remoto - USD),CAD,lWgD7ayw,AI / Machine Learning Engineer,DevUps,Global / Remoto,Remoto,No especificado,No especificado,,,,SQL,https://torre.ai/jobs/devups-ai-machine-learning-engineer
Torre.ai,Mercado Internacional (Remoto - USD),CAD,lWgD7ayw,AI / Machine Learning Engineer,DevUps,Global / Remoto,Remoto,No especificado,No especificado,,,,Spark / PySpark,https://torre.ai/jobs/devups-ai-machine-learning-engineer
Torre.ai,Mercado Internacional (Remoto - USD),CAD,lWgD7ayw,AI / Machine Learning Engineer,DevUps,Global / Remoto,Remoto,No especificado,No especificado,,,,Azure,https://torre.ai/jobs/devups-ai-machine-learning-engineer
Torre.ai,Mercado Internacional (Remoto - USD),CAD,lWgD7ayw,AI / Machine Learning Engineer,DevUps,Global / Remoto,Remoto,No especificado,No especificado,,,,Google Cloud (GCP),https://torre.ai/jobs/devups-ai-machine-learning-engineer
Torre.ai,Mercado Internacional (Remoto - USD),CAD,lWgD7ayw,AI / Machine Learning Engineer,DevUps,Global / Remoto,Remoto,No especificado,No especificado,,,,Machine Learning General,https://torre.ai/jobs/devups-ai-machine-learning-engineer
Torre.ai,Mercado Internacional (Remoto - USD),CAD,lWgD7ayw,AI / Machine Learning Engineer,DevUps,Global / Remoto,Remoto,No especificado,No especificado,,,,TensorFlow / Keras,https://torre.ai/jobs/devups-ai-machine-learning-engineer
Torre.ai,Mercado Internacional (Remoto - USD),CAD,lWgD7ayw,AI / Machine Learning Engineer,DevUps,Global / Remoto,Remoto,No especificado,No especificado,,,,PyTorch,https://torre.ai/jobs/devups-ai-machine-learning-engineer
Torre.ai,Mercado Internacional (Remoto - USD),CAD,lWgD7ayw,AI / Machine Learning Engineer,DevUps,Global / Remoto,Remoto,No especificado,No especificado,,,,ETL / Pipelines de Datos,https://torre.ai/jobs/devups-ai-machine-learning-engineer
Torre.ai,Mercado Internacional (Remoto - USD),CAD,lWgD7ayw,AI / Machine Learning Engineer,DevUps,Global / Remoto,Remoto,No especificado,No especificado,,,,Docker / Kubernetes,https://torre.ai/jobs/devups-ai-machine-learning-engineer
Torre.ai,Mercado Internacional (Remoto - USD),CAD,lWgD7ayw,AI / Machine Learning Engineer,DevUps,Global / Remoto,Remoto,No especificado,No especificado,,,,MLOps,https://torre.ai/jobs/devups-ai-machine-learning-engineer
Torre.ai,Mercado Internacional (Remoto - USD),CAD,ZW57GXpd,Machine Learning Engineer (GCP Certified),DevUps,Global / Remoto,Remoto,No especificado,No especificado,,,,Python,https://torre.ai/jobs/devups-machine-learning-engineer-gcp-certified
Torre.ai,Mercado Internacional (Remoto - USD),CAD,ZW57GXpd,Machine Learning Engineer (GCP Certified),DevUps,Global / Remoto,Remoto,No especificado,No especificado,,,,SQL,https://torre.ai/jobs/devups-machine-learning-engineer-gcp-certified
